trip_id,start_time,end_time,headway_secs,exact_times
4_I12-001_2023I12_1_1_4__1___,01:00:00,02:00:00,630,
4_I12-001_2023I12_2_1_4__1___,01:00:00,02:00:00,630,
4_I12-001_2023I12_1_1_4__1___,06:05:00,07:00:00,540,
4_I12-001_2023I12_2_1_4__1___,06:05:00,07:00:00,540,
4_I12-001_2023I12_1_1_4__1___,07:00:00,10:00:00,420,
4_I12-001_2023I12_2_1_4__1___,07:00:00,10:00:00,420,
4_I12-001_2023I12_1_1_4__1___,10:00:00,13:00:00,420,
4_I12-001_2023I12_2_1_4__1___,10:00:00,13:00:00,420,
4_I12-001_2023I12_1_1_4__1___,13:00:00,18:00:00,360,
4_I12-001_2023I12_2_1_4__1___,13:00:00,18:00:00,360,
4_I12-001_2023I12_1_1_4__1___,18:00:00,22:00:00,300,
4_I12-001_2023I12_2_1_4__1___,18:00:00,22:00:00,300,
4_I12-001_2023I12_1_1_4__1___,22:00:00,23:00:00,450,
4_I12-001_2023I12_2_1_4__1___,22:00:00,23:00:00,450,
4_I12-001_2023I12_1_1_4__1___,23:00:00,25:00:00,450,
4_I12-001_2023I12_2_1_4__1___,23:00:00,25:00:00,450,
4_I13-001_2023I13_1_1_4__1___,00:00:00,02:00:00,900,
4_I13-001_2023I13_2_1_4__1___,00:00:00,02:00:00,900,
4_I13-001_2023I13_1_1_4__1___,06:05:00,07:00:00,540,
4_I13-001_2023I13_2_1_4__1___,06:05:00,07:00:00,540,
4_I13-001_2023I13_1_1_4__1___,07:00:00,10:00:00,480,
4_I13-001_2023I13_2_1_4__1___,07:00:00,10:00:00,480,
4_I13-001_2023I13_1_1_4__1___,10:00:00,22:00:00,390,
4_I13-001_2023I13_2_1_4__1___,10:00:00,22:00:00,390,
4_I13-001_2023I13_1_1_4__1___,22:00:00,24:00:00,450,
4_I13-001_2023I13_2_1_4__1___,22:00:00,24:00:00,450,
4_I14-001_2023I14_1_1_4__1___,00:00:00,02:00:00,900,
4_I14-001_2023I14_2_1_4__1___,00:00:00,02:00:00,900,
4_I14-001_2023I14_1_1_4__1___,06:05:00,07:00:00,510,
4_I14-001_2023I14_2_1_4__1___,06:05:00,07:00:00,510,
4_I14-001_2023I14_1_1_4__1___,07:00:00,07:30:00,240,
4_I14-001_2023I14_2_1_4__1___,07:00:00,07:30:00,240,
4_I14-001_2023I14_1_1_4__1___,07:30:00,09:30:00,210,
4_I14-001_2023I14_2_1_4__1___,07:30:00,09:30:00,210,
4_I14-001_2023I14_1_1_4__1___,09:30:00,11:00:00,300,
4_I14-001_2023I14_2_1_4__1___,09:30:00,11:00:00,300,
4_I14-001_2023I14_1_1_4__1___,11:00:00,14:00:00,330,
4_I14-001_2023I14_2_1_4__1___,11:00:00,14:00:00,330,
4_I14-001_2023I14_1_1_4__1___,14:00:00,18:00:00,300,
4_I14-001_2023I14_2_1_4__1___,14:00:00,18:00:00,300,
4_I14-001_2023I14_1_1_4__1___,18:00:00,20:00:00,270,
4_I14-001_2023I14_2_1_4__1___,18:00:00,20:00:00,270,
4_I14-001_2023I14_1_1_4__1___,20:00:00,21:00:00,300,
4_I14-001_2023I14_2_1_4__1___,20:00:00,21:00:00,300,
4_I14-001_2023I14_1_1_4__1___,21:00:00,22:00:00,330,
4_I14-001_2023I14_2_1_4__1___,21:00:00,22:00:00,330,
4_I14-001_2023I14_1_1_4__1___,22:00:00,23:00:00,450,
4_I14-001_2023I14_2_1_4__1___,22:00:00,23:00:00,450,
4_I14-001_2023I14_1_1_4__1___,23:00:00,24:00:00,450,
4_I14-001_2023I14_2_1_4__1___,23:00:00,24:00:00,450,
4_I15-001_2023I15_1_1_4__1___,00:00:00,01:00:00,630,
4_I15-001_2023I15_2_1_4__1___,00:00:00,01:00:00,630,
4_I15-001_2023I15_1_1_4__1___,01:00:00,02:00:00,630,
4_I15-001_2023I15_2_1_4__1___,01:00:00,02:00:00,630,
4_I15-001_2023I15_1_1_4__1___,06:05:00,07:00:00,510,
4_I15-001_2023I15_2_1_4__1___,06:05:00,07:00:00,510,
4_I15-001_2023I15_1_1_4__1___,07:00:00,07:30:00,240,
4_I15-001_2023I15_2_1_4__1___,07:00:00,07:30:00,240,
4_I15-001_2023I15_1_1_4__1___,07:30:00,09:30:00,210,
4_I15-001_2023I15_2_1_4__1___,07:30:00,09:30:00,210,
4_I15-001_2023I15_1_1_4__1___,09:30:00,11:00:00,300,
4_I15-001_2023I15_2_1_4__1___,09:30:00,11:00:00,300,
4_I15-001_2023I15_1_1_4__1___,11:00:00,14:00:00,330,
4_I15-001_2023I15_2_1_4__1___,11:00:00,14:00:00,330,
4_I15-001_2023I15_1_1_4__1___,14:00:00,16:00:00,240,
4_I15-001_2023I15_2_1_4__1___,14:00:00,16:00:00,240,
4_I15-001_2023I15_1_1_4__1___,16:00:00,20:00:00,300,
4_I15-001_2023I15_2_1_4__1___,16:00:00,20:00:00,300,
4_I15-001_2023I15_1_1_4__1___,20:00:00,21:00:00,300,
4_I15-001_2023I15_2_1_4__1___,20:00:00,21:00:00,300,
4_I15-001_2023I15_1_1_4__1___,21:00:00,22:00:00,330,
4_I15-001_2023I15_2_1_4__1___,21:00:00,22:00:00,330,
4_I15-001_2023I15_1_1_4__1___,22:00:00,23:00:00,450,
4_I15-001_2023I15_2_1_4__1___,22:00:00,23:00:00,450,
4_I15-001_2023I15_1_1_4__1___,23:00:00,24:00:00,450,
4_I15-001_2023I15_2_1_4__1___,23:00:00,24:00:00,450,
4_I12-002_2023I12_1_1_4__2___,00:00:00,01:00:00,420,
4_I12-002_2023I12_2_1_4__2___,00:00:00,01:00:00,420,
4_I12-002_2023I12_1_1_4__2___,01:00:00,02:00:00,600,
4_I12-002_2023I12_2_1_4__2___,01:00:00,02:00:00,600,
4_I12-002_2023I12_1_1_4__2___,06:05:00,07:00:00,540,
4_I12-002_2023I12_2_1_4__2___,06:05:00,07:00:00,540,
4_I12-002_2023I12_1_1_4__2___,07:00:00,10:00:00,480,
4_I12-002_2023I12_2_1_4__2___,07:00:00,10:00:00,480,
4_I12-002_2023I12_1_1_4__2___,10:00:00,16:00:00,330,
4_I12-002_2023I12_2_1_4__2___,10:00:00,16:00:00,330,
4_I12-002_2023I12_1_1_4__2___,16:00:00,22:00:00,240,
4_I12-002_2023I12_2_1_4__2___,16:00:00,22:00:00,240,
4_I12-002_2023I12_1_1_4__2___,22:00:00,23:00:00,330,
4_I12-002_2023I12_2_1_4__2___,22:00:00,23:00:00,330,
4_I12-002_2023I12_1_1_4__2___,23:00:00,24:00:00,420,
4_I12-002_2023I12_2_1_4__2___,23:00:00,24:00:00,420,
4_I13-002_2023I13_1_1_4__2___,00:00:00,02:00:00,900,
4_I13-002_2023I13_2_1_4__2___,00:00:00,02:00:00,900,
4_I13-002_2023I13_1_1_4__2___,06:05:00,07:00:00,540,
4_I13-002_2023I13_2_1_4__2___,06:05:00,07:00:00,540,
4_I13-002_2023I13_1_1_4__2___,07:00:00,10:00:00,480,
4_I13-002_2023I13_2_1_4__2___,07:00:00,10:00:00,480,
4_I13-002_2023I13_1_1_4__2___,10:00:00,16:00:00,330,
4_I13-002_2023I13_2_1_4__2___,10:00:00,16:00:00,330,
4_I13-002_2023I13_1_1_4__2___,16:00:00,22:00:00,300,
4_I13-002_2023I13_2_1_4__2___,16:00:00,22:00:00,300,
4_I13-002_2023I13_1_1_4__2___,22:00:00,23:00:00,420,
4_I13-002_2023I13_2_1_4__2___,22:00:00,23:00:00,420,
4_I13-002_2023I13_1_1_4__2___,23:00:00,24:00:00,450,
4_I13-002_2023I13_2_1_4__2___,23:00:00,24:00:00,450,
4_I14-002_2023I14_1_1_4__2___,00:00:00,02:00:00,900,
4_I14-002_2023I14_2_1_4__2___,00:00:00,02:00:00,900,
4_I14-002_2023I14_1_1_4__2___,06:05:00,07:00:00,450,
4_I14-002_2023I14_2_1_4__2___,06:05:00,07:00:00,450,
4_I14-002_2023I14_1_1_4__2___,07:00:00,07:30:00,270,
4_I14-002_2023I14_2_1_4__2___,07:00:00,07:30:00,270,
4_I14-002_2023I14_1_1_4__2___,07:30:00,09:30:00,240,
4_I14-002_2023I14_2_1_4__2___,07:30:00,09:30:00,240,
4_I14-002_2023I14_1_1_4__2___,09:30:00,11:00:00,270,
4_I14-002_2023I14_2_1_4__2___,09:30:00,11:00:00,270,
4_I14-002_2023I14_1_1_4__2___,11:00:00,14:00:00,300,
4_I14-002_2023I14_2_1_4__2___,11:00:00,14:00:00,300,
4_I14-002_2023I14_1_1_4__2___,14:00:00,20:00:00,240,
4_I14-002_2023I14_2_1_4__2___,14:00:00,20:00:00,240,
4_I14-002_2023I14_1_1_4__2___,20:00:00,21:00:00,270,
4_I14-002_2023I14_2_1_4__2___,20:00:00,21:00:00,270,
4_I14-002_2023I14_1_1_4__2___,21:00:00,22:00:00,300,
4_I14-002_2023I14_2_1_4__2___,21:00:00,22:00:00,300,
4_I14-002_2023I14_1_1_4__2___,22:00:00,23:00:00,450,
4_I14-002_2023I14_2_1_4__2___,22:00:00,23:00:00,450,
4_I14-002_2023I14_1_1_4__2___,23:00:00,24:00:00,450,
4_I14-002_2023I14_2_1_4__2___,23:00:00,24:00:00,450,
4_I15-002_2023I15_1_1_4__2___,01:00:00,02:00:00,600,
4_I15-002_2023I15_2_1_4__2___,01:00:00,02:00:00,600,
4_I15-002_2023I15_1_1_4__2___,06:05:00,07:00:00,450,
4_I15-002_2023I15_2_1_4__2___,06:05:00,07:00:00,450,
4_I15-002_2023I15_1_1_4__2___,07:00:00,07:30:00,270,
4_I15-002_2023I15_2_1_4__2___,07:00:00,07:30:00,270,
4_I15-002_2023I15_1_1_4__2___,07:30:00,09:30:00,240,
4_I15-002_2023I15_2_1_4__2___,07:30:00,09:30:00,240,
4_I15-002_2023I15_1_1_4__2___,09:30:00,11:00:00,270,
4_I15-002_2023I15_2_1_4__2___,09:30:00,11:00:00,270,
4_I15-002_2023I15_1_1_4__2___,11:00:00,14:00:00,300,
