network,distance,n_live,ratio_median,ratio_p90,ratio_p99,ratio_max,frac_above_deflation
gla,10000,156434,1.4516723738048933,1.7177486472286028,2.555757335941835,19.111486486486488,0.010937519976475702
gla,20000,156434,1.3239277907677112,1.5993708041352792,1.9685365956140954,3.8487539246467817,9.588708337062275e-05
madrid,10000,64610,1.4430516119182242,1.8043771317849637,3.3867738796762508,307.13793103448273,0.024810400866738896
madrid,20000,64610,1.262558366427173,1.7138184360088746,2.2638447952991547,10.494182606980871,0.00529329825104473
cary,10000,6787,1.4923030485964384,1.8332794626822937,2.3401384814690704,2.922701383238405,0.0033888315898040373
cary,20000,6787,1.4361138204486663,1.5785994754853978,1.7188853085455056,1.900099823389388,0.0
woodlands,10000,4587,1.8161134903640257,2.3263784959704807,3.0795790187466885,7.150442477876106,0.052321778940483975
woodlands,20000,4587,1.6071346242508069,1.7731897063877915,1.9653492681896458,2.544266579549167,0.00021800741225201656
