distance,epsilon,p,rho_closeness,rho_betweenness
10000,0.04,0.37261341401591835,0.9892885389790301,0.98785572055959
10000,0.05,0.23847258497018772,0.9800740166665635,0.9807188352629206
10000,0.06,0.16560596178485262,0.9706825979452418,0.9749673899661251
10000,0.08,0.09315335350397959,0.9504248226074173,0.9667762258234497
20000,0.04,0.10371111171440921,0.972353204948567,0.9704634379523615
20000,0.05,0.06637511149722188,0.9609325054483548,0.9654097557245859
20000,0.06,0.04609382742862632,0.9450168399221964,0.9631043573565726
20000,0.08,0.025927777928602302,0.9267691595393809,0.9641615111940315
