network,distance,rho_closeness,rho_closeness_std,rho_closeness_min,n_seeds
cary,20000,0.9778989702701404,0.002763264413268149,0.9744436653609891,3
woodlands,20000,0.9713690786271153,0.002041261570022245,0.9690073105102067,3
