distance,metric,canonical_reach,budget,eps_observed,eps_predicted,bound_holds
1000.0,harmonic,102.58261726007487,1.0,0.0,0.19280039815017103,True
1000.0,betweenness,102.58261726007487,1.0,0.0,0.19280039815017103,True
2000.0,harmonic,410.3304690402995,1.0,0.0,0.10479618168323145,True
2000.0,betweenness,410.3304690402995,1.0,0.0,0.10479618168323145,True
5000.0,harmonic,2564.565431501872,0.5873464554207999,0.0004950567384956869,0.06,True
5000.0,betweenness,2564.565431501872,0.5873464554207999,39.36951120832664,0.06,False
10000.0,harmonic,10258.261726007488,0.16560596178485262,0.00045518593230801105,0.06,True
10000.0,betweenness,10258.261726007488,0.16560596178485262,101.36727135394605,0.06,False
20000.0,harmonic,41033.04690402995,0.04609382742862632,0.0003165542486677063,0.06,True
20000.0,betweenness,41033.04690402995,0.04609382742862632,207.07938213492696,0.06,False
